Date,Day,Type,Title,Badge,Content
2026-03-20,ศุกร์,race,🏆 Hyrox Race,2:28,"🎯 วันแข่ง — ใช้ทุกอย่างที่ซ้อมมา ไปเต็มที่! |  | Hyrox Bangkok — ผล 2:28 | Cramp ที่ Burpees + Lap 8 | เป้าหมายต่อไป: Sub-2:00"
2026-03-21,เสาร์,rest,REST,Recovery,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | พักฟื้นหลังแข่ง | นอนให้เยอะ กินดี"
2026-03-22,อาทิตย์,rest,REST 🛌,Recovery,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-03-23,จันทร์,recovery,Mobility & Recovery,30-45 min,"🎯 mobility — ร่างกายยืดหยุ่น ลดความเสี่ยงบาดเจ็บ |  | Walk: 20-30 min | Foam Roll: Quads; Hamstrings; Calves; Lats (2 min/ข้าง) | Stretch: Hip 90/90; Pigeon; Cat-Cow"
2026-03-24,อังคาร,strength,Upper Day (Full) 💪,60-75 min,"🎯 สร้างแรงส่วนบน — พื้นฐานสำหรับทุก station ที่ใช้แขน |  | Seated Row: 4x10 @ 35kg 🔥 | Lat Pulldown: 4x10 @ 40kg | Chest Press: 4x10 @ 40kg | Face Pull: 3x15 @ 15kg | Cable Lateral Raise: 3x12 @ 5kg | Rope Tricep Pushdown: 3x12 @ 20kg | Cable Curl: 3x12 @ 15kg | Back Extension: 3x12 BW |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-03-25,พุธ,run,Zone 2 Run,35-45 min,"🎯 สร้าง aerobic base — หัวใจแข็งแรงขึ้น pace จะเร็วขึ้นเอง |  | Pace: 7:00-7:30 /km | Treadmill: 6.5 km/h | HR: 130-145 bpm | Feel: พูดได้เต็มประโยค |  | Cool-down + Static Stretch 10 min"
2026-03-26,พฤหัสบดี,strength,Lower Day,60-75 min,"🎯 สร้างแรงขา — พื้นฐานสำหรับวิ่ง; Lunges; Sled Push |  | Leg Press: 4x10 @ 100kg | Leg Curl: 3x12 @ 40kg | Leg Extension: 3x12 @ 40kg | Weighted Step Up: 3x12/leg @ 10kg/hand | Calf Raise: 3x15 @ 60kg | Walking Lunges: 2x10/leg @ 30kg |  | ถ้าขายังไม่พร้อม → ทำ Upper แทน |  | Core: | Hanging Knee Raise: 3x10 BW"
2026-03-27,ศุกร์,mixed,Run + Upper,60-75 min,"🎯 cardio + strength รวม — ประหยัดเวลา ได้ทั้งวิ่งและเวท |  | Zone 2 Run: 25-30 min |  | Upper: | Lat Pulldown 3x10 @ 40kg | Seated Row 3x10 @ 35kg | Chest Press 3x10 @ 40kg | Face Pull 3x12 @ 15kg"
2026-03-28,เสาร์,run,Long Run,50-65 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 60-75 min | Pace: 7:00-7:30 /km | Treadmill: 6.5 km/h | HR: 130-145 bpm |  | Cool-down + Foam Roll 10 min"
2026-03-29,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี | Mobility; Stretch ถ้าอยาก"
2026-03-30,จันทร์,strength,Strength - Pull,60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | Seated Row: 4x10 @ 37.5kg 🔥 | Lat Pulldown: 4x10 @ 42.5kg | Back Extension: 3x12 BW | Face Pull: 3x15 @ 15kg | Dead Hang: 3x max BW |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-03-31,อังคาร,run,Zone 2 Run + Upper,60-70 min,"🎯 cardio + strength รวม — ประหยัดเวลา ได้ทั้งวิ่งและเวท |  | Zone 2 Run: 45 min | Treadmill: 6.5 km/h |  | Upper: | Chest Press: 3x10 @ 40kg | Rope Tricep Pushdown: 3x12 @ 20kg | Cable Curl: 3x12 @ 15kg"
2026-04-01,พุธ,strength,Strength - Push + Legs,60-75 min,"🎯 สร้างแรงขา+ดัน — ช่วย Sled Push; Lunges; Wall Balls |  | Chest Press: 4x10 @ 42.5kg | Leg Press: 4x10 @ 105kg | Weighted Step Up: 4x10/leg @ 10kg/hand | Leg Curl: 3x12 @ 42.5kg | Walking Lunges: 3x12/leg @ 30kg | Calf Raise: 3x15 @ 62.5kg | Goblet Squat: 3x12 @ 16kg |  | Finisher: | Wall Balls: 3x15 @ 9kg (overload — แข่ง 6kg) |  | Core: | Pallof Press: 3x12/side @ 10kg"
2026-04-02,พฤหัสบดี,run,Running Intervals,50-60 min,"🎯 เพิ่ม VO2max — วิ่งเร็วขึ้นที่ effort เท่าเดิม |  | Warm-up: 10 min easy | Intervals: 6x 400m @ race pace | Treadmill: 10.0-10.5 km/h | Rest: 90s between | Cool-down: 10 min"
2026-04-03,ศุกร์,strength,Strength - Mixed,60-75 min,"🎯 ฝึก stations จริง — ร่างกายชินกับอุปกรณ์แข่ง |  | Sled Push/Pull: 5x25m | Farmer Carry: 3x50m @ 24kg/hand | Burpees: 3x15 BW → Run 400m | Chest Press: 3x10 @ 42.5kg | Cable Curl: 3x12 @ 15kg |  | EMOM 10 min: | Wall Balls: 12 @ 9kg |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW |  | Transition Drill: | Run 400m → Sled Push 25m → Run 400m"
2026-04-04,เสาร์,run,Long Run,60-75 min,"🎯 สร้างความอดทน — ร่างกายชินกับวิ่งนานเหมือนวันแข่ง |  | Zone 2: 70-85 min | Pace: 7:00-7:30 /km | Treadmill: 6.5 km/h"
2026-04-05,อาทิตย์,rest,REST 🛌,,"🎯 ฟื้นตัว — กล้ามเนื้อซ่อมแซมและแข็งแรงขึ้น |  | วันพัก — นอนให้พอ กินให้ดี"
2026-04-06,จันทร์,strength,Strength - Pull,60-75 min,"🎯 สร้างแรงดึง — ช่วย Sled Pull; Row; SkiErg ทำได้เร็วขึ้น |  | Seated Row: 5x5 @ 47.5kg 🔥 | Lat Pulldown: 5x5 @ 52.5kg | Back Extension: 3x12 + 5kg | Face Pull: 3x15 @ 15kg |  | Finisher: | Wall Balls: 3x15 @ 9kg (overload — แข่ง 6kg) |  | Core: | Plank: 3x45s BW + Dead Bug: 3x10/side BW"
2026-04-07,อังคาร,run,Tempo Run + Upper,60-70 min,"🎯 threshold + strength — เพิ่มความเร็ววิ่งและแรงแขน |  | Tempo Run: 25 min @ 6:30-7:00/km | Treadmill: 9.0-9.5 km/h | HR: 155-165 bpm | Feel: พูดได้แค่สั้นๆ |  | Upper: | Chest Press: 4x10 @ 45kg | Rope Tricep Pushdown: 3x12 @ 20kg | Cable Curl: 3x12 @ 15kg"
